Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+90272155.0ns,,,,,912,,,,
+90272155.0ns,,,,,,892,,,
+90272155.0ns,,,,,892,,,,
+90272155.0ns,,,,,,872,,,
+90272155.0ns,,,,,872,,,,
+90272155.0ns,,,,,,852,,,
+90272155.0ns,,,,,852,,,,
+90272155.0ns,,,,,,832,,,
+90272155.0ns,,,,,832,,,,
+90272155.0ns,,,,,,812,,,
+90272155.0ns,,,,,812,,,,
+90272155.0ns,,,,,,792,,,
+90272155.0ns,,,,,792,,,,
+90272155.0ns,,,,,,772,,,
+90272155.0ns,,,,,772,,,,
+90272155.0ns,,,,,,752,,,
+90272155.0ns,,,,,752,,,,
+90272155.0ns,,,,,,732,,,
+90272155.0ns,,,,,732,,,,
+90272155.0ns,,,,,,712,,,
+90272155.0ns,,,,,712,,,,
+90272155.0ns,,,,,,692,,,
+90272155.0ns,,,,,692,,,,
+90272155.0ns,,,,,,672,,,
+90272155.0ns,,,,,672,,,,
+90272155.0ns,,,,,,652,,,
+90272155.0ns,,,,,652,,,,
+90272155.0ns,,,,,,632,,,
+90272155.0ns,,,,,632,,,,
+90272155.0ns,,,,,,612,,,
+90272155.0ns,,,,,612,,,,
+90272155.0ns,,,,,,592,,,
+90272155.0ns,,,,,592,,,,
+90272155.0ns,,,,,,572,,,
+90272155.0ns,,,,,572,,,,
+90272155.0ns,,,,,,552,,,
+90272155.0ns,,,,,552,,,,
+90272155.0ns,,,,,,536,,,
+90272155.0ns,,,,,536,,,,
+90272155.0ns,,,,,,532,,,
+90272155.0ns,,,,,532,,,,
+90272155.0ns,,,,,,512,,,
+90272155.0ns,,,,,512,,,,
+90272155.0ns,,,,,,492,,,
+90272155.0ns,,,,,492,,,,
+90272155.0ns,,,,,,472,,,
+90272155.0ns,,,,,472,,,,
+90272155.0ns,,,,,,452,,,
+90272155.0ns,,,,,452,,,,
+90272155.0ns,,,,,,432,,,
+90272155.0ns,,,,,432,,,,
+90272155.0ns,,,,,,412,,,
+90272155.0ns,,,,,412,,,,
+90272155.0ns,,,,,,392,,,
+90272155.0ns,,,,,392,,,,
+90272155.0ns,,,,,,372,,,
+90272155.0ns,,,,,372,,,,
+90272155.0ns,,,,,,352,,,
+90272155.0ns,,,,,352,,,,
+90272155.0ns,,,,,,332,,,
+90272155.0ns,,,,,332,,,,
+90272155.0ns,,,,,,312,,,
+90272155.0ns,,,,,312,,,,
+90272155.0ns,,,,,,292,,,
+90272155.0ns,,,,,292,,,,
+90272155.0ns,,,,,,272,,,
+90272155.0ns,,,,,272,,,,
+90272155.0ns,,,,,,252,,,
+90272155.0ns,,,,,252,,,,
+90272155.0ns,,,,,,232,,,
+90272155.0ns,,,,,232,,,,
+90272155.0ns,,,,,,212,,,
+90272155.0ns,,,,,212,,,,
+90272155.0ns,,,,,,192,,,
+90272155.0ns,,,,,192,,,,
+90272155.0ns,,,,,,172,,,
+90272155.0ns,,,,,172,,,,
+90272155.0ns,,,,,,152,,,
+90272155.0ns,,,,,152,,,,
+90272155.0ns,,,,,,132,,,
+90272155.0ns,,,,,132,,,,
+90272155.0ns,,,,,,112,,,
+90272155.0ns,,,,,112,,,,
+90272155.0ns,,,,,,92,,,
+90272155.0ns,,,,,92,,,,
+90272155.0ns,,,,,,72,,,
+90272155.0ns,,,,,72,,,,
+90272155.0ns,,,,,,52,,,
+90272155.0ns,,,,,52,,,,
+90272155.0ns,,,,,,32,,,
+90272155.0ns,,,,,32,,,,
+90272155.0ns,,,,,,12,,,
+90272155.0ns,,,,,12,,,,
+90272155.0ns,,,,,,0,,,
+90272155.0ns,,,,,0,,,,
+90272477.0ns,,,,,,536,,,
+90272477.0ns,,,,2236404995,,,,,
+90272477.0ns,,,,,536,,,,
+90272477.0ns,,,,,,516,,,
+90272477.0ns,,,,,516,,,,
+90272477.0ns,,,,,,496,,,
+90272477.0ns,,,,,496,,,,
+90272477.0ns,,,,,,476,,,
+90272477.0ns,,,,,476,,,,
+90272477.0ns,,,,,,456,,,
+90272477.0ns,,,,,456,,,,
+90272477.0ns,,,,,,436,,,
+90272477.0ns,,,,,436,,,,
+90272477.0ns,,,,,,416,,,
+90272477.0ns,,,,,416,,,,
+90272477.0ns,,,,,,396,,,
+90272477.0ns,,,,,396,,,,
+90272477.0ns,,,,,,376,,,
+90272477.0ns,,,,,376,,,,
+90272477.0ns,,,,,,356,,,
+90272477.0ns,,,,,356,,,,
+90272477.0ns,,,,,,336,,,
+90272477.0ns,,,,,336,,,,
+90272477.0ns,,,,,,316,,,
+90272477.0ns,,,,,316,,,,
+90272477.0ns,,,,,,296,,,
+90272477.0ns,,,,,296,,,,
+90272477.0ns,,,,,,276,,,
+90272477.0ns,,,,,276,,,,
+90272477.0ns,,,,,,256,,,
+90272477.0ns,,,,,256,,,,
