Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+10004319.0ns,,,,,,,,,,SYN_RCVD
+1471691330.0ns,,1079476696,,,,,,,
+1471691330.0ns,1079476696,,,,,,,,
+1471713968.0ns,,,1079468906,,,,,,
+1471713969.0ns,,1079476917,,,,,,,
+1471713969.0ns,1079476917,,,,,,,,
+1471747728.0ns,,,,,,,8045,,
+1471747728.0ns,,,1079469266,,,,,,
+1471747729.0ns,,1079477311,,,,,,,
+1471747729.0ns,1079477311,,,,,,,,
+1471795568.0ns,,,,,,,8079,,
+1471795568.0ns,,,1079469802,,,,,,
+1471795569.0ns,,1079477847,,,,,,,
+1471795569.0ns,1079477847,,,,,,,,
+1471795569.0ns,,1079477881,,,,,,,
+1471795569.0ns,1079477881,,,,,,,,
+1471803088.0ns,,,1079469838,,,,,,
+1471803089.0ns,,1079477917,,,,,,,
+1471803089.0ns,1079477917,,,,,,,,
+1471811167.0ns,,,1079469877,,,,,,
+1471811168.0ns,,1079477956,,,,,,,
+1471811168.0ns,1079477956,,,,,,,,
+1471819407.0ns,,,1079469918,,,,,,
+1471819408.0ns,,1079477997,,,,,,,
+1471819408.0ns,1079477997,,,,,,,,
+1471827967.0ns,,,1079469963,,,,,,
+1471827968.0ns,,1079478042,,,,,,,
+1471827968.0ns,1079478042,,,,,,,,
+1471836847.0ns,,,1079470012,,,,,,
+1471836848.0ns,,1079478091,,,,,,,
+1471836848.0ns,1079478091,,,,,,,,
+1471846127.0ns,,,,,,,8113,,
+1471846127.0ns,,,1079470066,,,,,,
+1471846128.0ns,,1079478179,,,,,,,
+1471846128.0ns,1079478179,,,,,,,,
+1471858687.0ns,,,1079470161,,,,,,
+1471858688.0ns,,1079478274,,,,,,,
+1471858688.0ns,1079478274,,,,,,,,
+1471872526.0ns,,,1079470272,,,,,,
+1471872527.0ns,,1079478385,,,,,,,
+1471872527.0ns,1079478385,,,,,,,,
+1471887405.0ns,,,1079470396,,,,,,
+1471887406.0ns,,1079478509,,,,,,,
+1471887406.0ns,1079478509,,,,,,,,
+1471935245.0ns,,,,,,,8147,,
+1471935245.0ns,,,1079470932,,,,,,
+1471935246.0ns,,1079479045,,,,,,,
+1471935246.0ns,1079479045,,,,,,,,
+1471935246.0ns,,1079479079,,,,,,,
+1471935246.0ns,1079479079,,,,,,,,
+1471942765.0ns,,,1079470968,,,,,,
+1471942766.0ns,,1079479115,,,,,,,
+1471942766.0ns,1079479115,,,,,,,,
+1471950764.0ns,,,1079471006,,,,,,
+1471950765.0ns,,1079479153,,,,,,,
+1471950765.0ns,1079479153,,,,,,,,
+1471959004.0ns,,,1079471047,,,,,,
+1471959005.0ns,,1079479194,,,,,,,
